이름,위도,경도,소재지,연락처,구분,휴무일,운영시간
중구보건소,35.5693209,129.350489,울산광역시 중구 외솔큰길 225,052-290-4300,보건소,토/일/공휴일,(월-금)09:00~18:00 (점심시간)12:00~13:00
남구보건소,35.545224,129.3364452,울산광역시 남구 삼산중로 132,052-226-2805,보건소,토/일/공휴일,(월-금)09:00~18:00 (점심시간)12:00~13:00
동구보건소,35.505459,129.4171256,울산광역시 동구 봉수로 155,052-209-4080,보건소,토/일/공휴일,(월-금)09:00~18:00 (점심시간)12:00~13:00
북구보건소,35.6200001,129.3507888,울산광역시 북구 산업로 1080,052-289-3450,보건소,토/일/공휴일,(월-금)09:00~18:00 (점심시간)12:00~13:00
울주군보건소,35.558311,129.1138824,울산광역시 울주군 삼남읍 서향교1길 67-12,052-229-8048,보건소,토/일/공휴일,(월-금)09:00~18:00 (점심시간)12:00~13:00
학성행정복지센터,35.5552975,129.3345536,울산광역시 중구 학성동 구교로 92,052-290-4500,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
반구1행정복지센터,35.5563414999999,129.3416002,울산광역시 중구 화합로 340,052-290-4520,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
반구2행정복지센터,35.5633381,129.3407574,울산광역시 중구 구교4길 40,052-290-4540,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
복산1행정복지센터,35.5630487,129.3269821,울산광역시 중구 북부순환도로 610,052-290-4560,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
복산2행정복지센터,35.5657471,129.3341553,울산광역시 중구 화합로 465,052-297-7384,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
성안행정복지센터,35.5745049999999,129.3097748,울산광역시 중구 백양로 34,052-290-4600,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
중앙행정복지센터,35.5574384,129.3240874,울산광역시 중구 중앙길 199,052-290-4620,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
우정행정복지센터,35.5553005,129.3124996,울산광역시 중구 장춘로 30,052-290-4640,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
태화행정복지센터,35.5564993,129.3044194,울산광역시 중구 유곡로 45,054-852-3404,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
다운행정복지센터,35.5563346,129.2756885,울산광역시 중구 운곡길 6,052-290-4680,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
병영1행정복지센터,35.5698634,129.346643,울산광역시 중구 병영3길 8,052-290-4700,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
병영2행정복지센터,35.5794564,129.3459331,울산광역시 중구 병영성7길 9,052-290-4720,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
약사행정복지센터,35.5704021,129.3373892,울산광역시 중구 평산4길 38,052-290-4740,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
